name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Oxnard city, California",1600000US0654652,205434,157195,123608,5835,24849,1740,6799,20203,9077,14492,153803,105231,10482,30523,59515,06,54652,2014,California,06_54652,Oxnard
"Palmdale city, California",1600000US0655156,158274,62018,92904,3416,20413,2074,6426,17822,6535,9744,117033,70825,8031,30169,57035,06,55156,2014,California,06_55156,Palmdale
"Palo Alto city, California",1600000US0655282,66968,39273,,,,,,,,,53658,35744,1316,2862,151370,06,55282,2014,California,06_55282,Palo Alto
"Pasadena city, California",1600000US0656000,140860,72395,101172,870,14868,1072,3057,11215,6631,26666,116536,76464,4023,24674,70873,06,56000,2014,California,06_56000,Pasadena
"Perris city, California",1600000US0656700,73751,19993,40690,2708,11502,649,1277,7610,2224,2181,54293,35736,6413,18415,49425,06,56700,2014,California,06_56700,Perris
"Pittsburg city, California",1600000US0657456,68122,23628,43635,1912,11888,1150,3831,7917,4045,5675,52296,35787,3844,9277,64442,06,57456,2014,California,06_57456,Pittsburg
"Pleasanton city, California",1600000US0657792,77676,47454,52340,310,6152,719,2240,6501,4347,17285,60002,39139,1204,1901,122652,06,57792,2014,California,06_57792,Pleasanton
"Pomona city, California",1600000US0658072,153381,96332,90091,3711,22870,1925,3752,13327,5268,11041,115259,69223,8279,35180,46813,06,58072,2014,California,06_58072,Pomona
"Rancho Cordova city, California",1600000US0659444,69727,44655,45459,579,8838,1420,3266,9692,5274,8959,54582,37363,3521,10402,60001,06,59444,2014,California,06_59444,Rancho Cordova
"Rancho Cucamonga city, California",1600000US0659451,174302,108124,117650,931,25763,1802,9337,22362,11650,22216,139575,90476,6435,17966,71742,06,59451,2014,California,06_59451,Rancho Cucamonga
"Redding city, California",1600000US0659920,91588,78324,61106,656,10791,2841,4743,13651,7759,10119,73336,40601,3068,12629,45133,06,59920,2014,California,06_59920,Redding
"Redlands city, California",1600000US0659962,70618,51452,42662,114,10373,1066,2354,6418,3787,7519,54557,29947,1968,14708,63444,06,59962,2014,California,06_59962,Redlands
"Redondo Beach city, California",1600000US0660018,68146,51220,,,,,,,,,55302,40097,2879,4279,110451,06,60018,2014,California,06_60018,Redondo Beach
"Redwood City city, California",1600000US0660102,82868,48245,57394,573,8044,769,3159,7946,5127,13467,65301,45870,1952,8482,87255,06,60102,2014,California,06_60102,Redwood City
"Rialto city, California",1600000US0660466,102740,60732,58648,1195,14407,2376,3031,9538,3584,5085,76666,49160,8081,21696,50647,06,60466,2014,California,06_60466,Rialto
"Richmond city, California",1600000US0660620,108562,32448,73013,2526,15162,1667,3850,10831,5626,12663,85753,57490,7031,18828,55025,06,60620,2014,California,06_60620,Richmond
"Riverside city, California",1600000US0662000,319519,215584,191879,6872,50949,4612,12514,33758,13050,23699,248280,162037,19678,58727,58368,06,62000,2014,California,06_62000,Riverside
"Roseville city, California",1600000US0662938,128593,101770,86431,301,12262,797,6128,19085,10094,22818,100811,65051,4145,12409,80658,06,62938,2014,California,06_62938,Roseville
"Sacramento city, California",1600000US0664000,485193,234625,315080,10066,58053,8682,19795,54016,27939,58113,378284,237122,24408,107896,48829,06,64000,2014,California,06_64000,Sacramento
"Salinas city, California",1600000US0664224,156678,123642,92043,2674,19068,3170,3629,10106,7863,7940,114231,71088,4676,26937,52305,06,64224,2014,California,06_64224,Salinas
"San Bernardino city, California",1600000US0665000,215227,125109,118796,4776,29788,5047,7194,16435,7513,9871,153062,88422,13742,70185,37659,06,65000,2014,California,06_65000,San Bernardino
"San Buenaventura (Ventura) city, California",1600000US0665042,109478,93981,77527,744,13041,1942,5616,13811,8634,18208,89775,56786,4085,13350,71852,06,65042,2014,California,06_65042,San Buenaventura (Ventura)
"San Clemente city, California",1600000US0665084,65342,51265,,,,,,,,,54002,33406,1840,3440,98710,06,65084,2014,California,06_65084,San Clemente
"San Diego city, California",1600000US0666000,1381083,889280,933893,17983,134334,16431,42518,145068,68162,253146,1131247,761498,53375,212098,67799,06,66000,2014,California,06_66000,San Diego
"San Francisco city, California",1600000US0667000,852469,403610,671896,19291,76096,9543,22436,79180,40005,220923,748331,525881,32551,100906,85070,06,67000,2014,California,06_67000,San Francisco
"San Jose city, California",1600000US0668000,1015796,438911,684783,20596,109829,16005,30465,89636,50863,165735,805968,549295,36812,94874,87210,06,68000,2014,California,06_68000,San Jose
"San Leandro city, California",1600000US0668084,89347,38286,63330,2309,16221,1054,2643,9441,5279,12636,74339,49716,2661,9117,61935,06,68084,2014,California,06_68084,San Leandro
"San Marcos city, California",1600000US0668196,92910,56080,58043,1393,9005,869,3271,8229,7834,12665,70864,44552,2739,15762,66244,06,68196,2014,California,06_68196,San Marcos
"San Mateo city, California",1600000US0668252,102885,67681,75810,645,10306,1401,2782,9371,5204,22542,83688,58672,3058,8301,101229,06,68252,2014,California,06_68252,San Mateo
"San Ramon city, California",1600000US0668378,75319,31885,,,,,,,,,53895,36773,1432,1741,135355,06,68378,2014,California,06_68378,San Ramon
"Santa Ana city, California",1600000US0669000,334924,167781,201249,10339,38589,4132,9216,24560,9868,17049,251206,165574,12171,74429,50797,06,69000,2014,California,06_69000,Santa Ana
"Santa Barbara city, California",1600000US0669070,91208,71822,61780,700,7580,2115,2224,8945,3863,18153,75893,50299,1673,14345,62340,06,69070,2014,California,06_69070,Santa Barbara
"Santa Clara city, California",1600000US0669084,122198,58345,83293,984,10875,1254,3861,8649,5288,24008,100819,67398,2412,10722,91080,06,69084,2014,California,06_69084,Santa Clara
"Santa Clarita city, California",1600000US0669088,181559,129839,115441,1156,21051,2212,8215,23474,12074,25960,138405,93129,6708,16558,81577,06,69088,2014,California,06_69088,Santa Clarita
"Santa Maria city, California",1600000US0669196,103414,82363,58983,3960,9357,929,3926,7580,3335,5276,73357,48162,4123,24078,52469,06,69196,2014,California,06_69196,Santa Maria
