State,City,Violent Crime,Year
ALABAMA,Abbeville,22.0,2012
ALABAMA,Adamsville,28.0,2012
ALABAMA,Addison,7.0,2012
ALABAMA,Alabaster,49.0,2012
ALABAMA,Alexander City,95.0,2012
ALABAMA,Aliceville,9.0,2012
ALABAMA,Anniston,504.0,2012
ALABAMA,Arab,50.0,2012
ALABAMA,Ashford,2.0,2012
ALABAMA,Ashland,7.0,2012
ALABAMA,Ashville,9.0,2012
ALABAMA,Athens,31.0,2012
ALABAMA,Atmore,63.0,2012
ALABAMA,Auburn,132.0,2012
ALABAMA,Bay Minette,49.0,2012
ALABAMA,Bayou La Batre,47.0,2012
ALABAMA,Bessemer,582.0,2012
ALABAMA,Birmingham,3237.0,2012
ALABAMA,Blountsville,9.0,2012
ALABAMA,Brent,17.0,2012
ALABAMA,Brewton,67.0,2012
ALABAMA,Bridgeport,21.0,2012
ALABAMA,Brundidge,2.0,2012
ALABAMA,Butler,8.0,2012
ALABAMA,Camp Hill,21.0,2012
ALABAMA,Carbon Hill,9.0,2012
ALABAMA,Carrollton,1.0,2012
ALABAMA,Cedar Bluff,22.0,2012
ALABAMA,Centre,20.0,2012
ALABAMA,Centreville,5.0,2012
ALABAMA,Chatom,3.0,2012
ALABAMA,Chickasaw,61.0,2012
ALABAMA,Childersburg,3.0,2012
ALABAMA,Citronelle,19.0,2012
ALABAMA,Clanton,51.0,2012
ALABAMA,Coaling,10.0,2012
ALABAMA,Collinsville,7.0,2012
ALABAMA,Columbiana,13.0,2012
ALABAMA,Cordova,18.0,2012
ALABAMA,Creola,3.0,2012
ALABAMA,Dadeville,42.0,2012
ALABAMA,Daleville,13.0,2012
ALABAMA,Daphne,40.0,2012
ALABAMA,Dauphin Island,1.0,2012
ALABAMA,Decatur,240.0,2012
ALABAMA,Demopolis,38.0,2012
ALABAMA,Dora,20.0,2012
ALABAMA,Dothan,319.0,2012
ALABAMA,Double Springs,2.0,2012
ALABAMA,Douglas,7.0,2012
ALABAMA,East Brewton,26.0,2012
ALABAMA,Eclectic,5.0,2012
ALABAMA,Elba,31.0,2012
ALABAMA,Elberta,1.0,2012
ALABAMA,Enterprise,110.0,2012
ALABAMA,Eutaw,41.0,2012
ALABAMA,Evergreen,43.0,2012
ALABAMA,Excel,3.0,2012
ALABAMA,Fairfield,153.0,2012
ALABAMA,Fairhope,43.0,2012
ALABAMA,Falkville,2.0,2012
ALABAMA,Fayette,11.0,2012
ALABAMA,Flomaton,24.0,2012
ALABAMA,Florala,4.0,2012
ALABAMA,Florence,165.0,2012
ALABAMA,Foley,54.0,2012
ALABAMA,Fort Payne,22.0,2012
ALABAMA,Fultondale,20.0,2012
ALABAMA,Gadsden,372.0,2012
ALABAMA,Gardendale,27.0,2012
ALABAMA,Geneva,19.0,2012
ALABAMA,Geraldine,0.0,2012
ALABAMA,Glencoe,8.0,2012
ALABAMA,Grant,6.0,2012
ALABAMA,Greenville,48.0,2012
ALABAMA,Grove Hill,7.0,2012
ALABAMA,Guin,12.0,2012
ALABAMA,Gulf Shores,46.0,2012
ALABAMA,Guntersville,44.0,2012
ALABAMA,Hackleburg,4.0,2012
ALABAMA,Haleyville,18.0,2012
ALABAMA,Hamilton,8.0,2012
ALABAMA,Hanceville,15.0,2012
ALABAMA,Hartford,10.0,2012
ALABAMA,Hartselle,21.0,2012
ALABAMA,Headland,14.0,2012
ALABAMA,Heflin,18.0,2012
ALABAMA,Helena,11.0,2012
ALABAMA,Henagar,3.0,2012
ALABAMA,Hokes Bluff,3.0,2012
ALABAMA,Hoover,86.0,2012
ALABAMA,Hueytown,43.0,2012
ALABAMA,Huntsville,1696.0,2012
ALABAMA,Ider,5.0,2012
ALABAMA,Irondale,53.0,2012
ALABAMA,Jackson,34.0,2012
ALABAMA,Jacksonville,43.0,2012
ALABAMA,Jasper,123.0,2012
ALABAMA,Jemison,18.0,2012
ALABAMA,Killen,3.0,2012
ALABAMA,Kinston,2.0,2012
ALABAMA,Lafayette,23.0,2012
ALABAMA,Lanett,103.0,2012
ALABAMA,Leeds,58.0,2012
ALABAMA,Leesburg,4.0,2012
ALABAMA,Level Plains,7.0,2012
ALABAMA,Lincoln,37.0,2012
ALABAMA,Littleville,2.0,2012
ALABAMA,Lockhart,1.0,2012
ALABAMA,Loxley,14.0,2012
ALABAMA,Luverne,18.0,2012
ALABAMA,Madison,90.0,2012
ALABAMA,Maplesville,6.0,2012
ALABAMA,Margaret,1.0,2012
ALABAMA,Midfield,42.0,2012
ALABAMA,Midland City,8.0,2012
ALABAMA,Millbrook,81.0,2012
ALABAMA,Mobile,1314.0,2012
ALABAMA,Monroeville,81.0,2012
ALABAMA,Montevallo,23.0,2012
ALABAMA,Montgomery,827.0,2012
ALABAMA,Moody,18.0,2012
ALABAMA,Morris,5.0,2012
ALABAMA,Moulton,8.0,2012
ALABAMA,Moundville,7.0,2012
ALABAMA,Mountain Brook,8.0,2012
ALABAMA,Mount Vernon,25.0,2012
ALABAMA,Muscle Shoals,76.0,2012
ALABAMA,Napier Field,1.0,2012
ALABAMA,New Brockton,8.0,2012
ALABAMA,New Hope,14.0,2012
ALABAMA,Newton,4.0,2012
ALABAMA,Northport,135.0,2012
ALABAMA,Notasulga,2.0,2012
ALABAMA,Odenville,12.0,2012
ALABAMA,Oneonta,23.0,2012
ALABAMA,Opelika,207.0,2012
ALABAMA,Orange Beach,23.0,2012
ALABAMA,Owens Crossroads,3.0,2012
ALABAMA,Oxford,76.0,2012
ALABAMA,Ozark,103.0,2012
ALABAMA,Pelham,36.0,2012
ALABAMA,Pell City,61.0,2012
ALABAMA,Phenix City,248.0,2012
ALABAMA,Piedmont,23.0,2012
ALABAMA,Pine Hill,18.0,2012
ALABAMA,Pleasant Grove,17.0,2012
ALABAMA,Powell,1.0,2012
ALABAMA,Prattville,60.0,2012
ALABAMA,Prichard,527.0,2012
ALABAMA,Ragland,4.0,2012
ALABAMA,Rainbow City,28.0,2012
ALABAMA,Rainsville,15.0,2012
ALABAMA,Red Bay,6.0,2012
ALABAMA,Reform,6.0,2012
ALABAMA,Riverside,13.0,2012
ALABAMA,Roanoke,23.0,2012
ALABAMA,Robertsdale,19.0,2012
ALABAMA,Rogersville,7.0,2012
ALABAMA,Russellville,76.0,2012
ALABAMA,Samson,27.0,2012
ALABAMA,Saraland,35.0,2012
ALABAMA,Sardis City,1.0,2012
ALABAMA,Satsuma,11.0,2012
ALABAMA,Scottsboro,65.0,2012
ALABAMA,Selma,274.0,2012
ALABAMA,Sheffield,101.0,2012
ALABAMA,Silverhill,5.0,2012
ALABAMA,Slocomb,4.0,2012
ALABAMA,Snead,11.0,2012
ALABAMA,Southside,9.0,2012
ALABAMA,Spanish Fort,12.0,2012
ALABAMA,Springville,10.0,2012
ALABAMA,Sulligent,8.0,2012
ALABAMA,Sumiton,19.0,2012
ALABAMA,Summerdale,8.0,2012
ALABAMA,Sylvania,1.0,2012
ALABAMA,Talladega,107.0,2012
ALABAMA,Tallassee,65.0,2012
ALABAMA,Tarrant,15.0,2012
ALABAMA,Thorsby,3.0,2012
ALABAMA,Town Creek,7.0,2012
ALABAMA,Triana,11.0,2012
ALABAMA,Trinity,5.0,2012
ALABAMA,Troy,115.0,2012
ALABAMA,Tuscaloosa,478.0,2012
ALABAMA,Tuscumbia,43.0,2012
ALABAMA,Tuskegee,120.0,2012
ALABAMA,Valley,60.0,2012
ALABAMA,Vestavia Hills,22.0,2012
ALABAMA,Warrior,14.0,2012
ALABAMA,Weaver,20.0,2012
ALABAMA,Wetumpka,47.0,2012
ALABAMA,Winfield,15.0,2012
ALABAMA,Woodstock,3.0,2012
ALABAMA,York,26.0,2012
ALASKA,Anchorage,2479.0,2012
ALASKA,Bethel,49.0,2012
ALASKA,Bristol Bay Borough,1.0,2012
ALASKA,Cordova,4.0,2012
ALASKA,Craig,5.0,2012
ALASKA,Dillingham,47.0,2012
ALASKA,Fairbanks,169.0,2012
ALASKA,Haines,4.0,2012
ALASKA,Homer,54.0,2012
ALASKA,Juneau,115.0,2012
ALASKA,Kenai,25.0,2012
ALASKA,Ketchikan,29.0,2012
ALASKA,Kodiak,121.0,2012
ALASKA,Kotzebue,78.0,2012
ALASKA,Nome,23.0,2012
ALASKA,North Pole,8.0,2012
ALASKA,North Slope Borough,70.0,2012
ALASKA,Palmer,18.0,2012
ALASKA,Petersburg,12.0,2012
ALASKA,Seward,2.0,2012
ALASKA,Sitka,12.0,2012
ALASKA,Skagway,2.0,2012
ALASKA,Soldotna,15.0,2012
ALASKA,Unalaska,13.0,2012
ALASKA,Valdez,14.0,2012
ALASKA,Wasilla,43.0,2012
ALASKA,Wrangell,3.0,2012
ARIZONA,Apache Junction,130.0,2012
ARIZONA,Avondale,233.0,2012
ARIZONA,Benson,9.0,2012
ARIZONA,Bisbee,79.0,2012
ARIZONA,Buckeye,54.0,2012
ARIZONA,Bullhead City,86.0,2012
ARIZONA,Camp Verde,21.0,2012
ARIZONA,Casa Grande,211.0,2012
ARIZONA,Chandler,628.0,2012
ARIZONA,Chino Valley,77.0,2012
ARIZONA,Clarkdale,6.0,2012
ARIZONA,Clifton,5.0,2012
ARIZONA,Coolidge,70.0,2012
ARIZONA,Cottonwood,51.0,2012
ARIZONA,Douglas,199.0,2012
ARIZONA,Eagar,4.0,2012
ARIZONA,El Mirage,86.0,2012
ARIZONA,Eloy,84.0,2012
ARIZONA,Flagstaff,262.0,2012
ARIZONA,Florence,29.0,2012
ARIZONA,Fredonia,4.0,2012
ARIZONA,Gilbert,205.0,2012
ARIZONA,Glendale,1145.0,2012
ARIZONA,Goodyear,103.0,2012
ARIZONA,Holbrook,58.0,2012
ARIZONA,Jerome,7.0,2012
ARIZONA,Kingman,93.0,2012
ARIZONA,Lake Havasu City,58.0,2012
ARIZONA,Mammoth,7.0,2012
ARIZONA,Marana,35.0,2012
ARIZONA,Maricopa,58.0,2012
ARIZONA,Mesa,1804.0,2012
ARIZONA,Miami,17.0,2012
ARIZONA,Nogales,45.0,2012
ARIZONA,Oro Valley,21.0,2012
ARIZONA,Page,71.0,2012
ARIZONA,Paradise Valley,9.0,2012
ARIZONA,Parker,29.0,2012
ARIZONA,Payson,48.0,2012
ARIZONA,Peoria,296.0,2012
ARIZONA,Phoenix,9458.0,2012
ARIZONA,Pima,2.0,2012
ARIZONA,Pinetop-Lakeside,38.0,2012
ARIZONA,Prescott,168.0,2012
ARIZONA,Prescott Valley,89.0,2012
ARIZONA,Sahuarita,11.0,2012
ARIZONA,San Luis,29.0,2012
ARIZONA,Scottsdale,329.0,2012
ARIZONA,Sedona,20.0,2012
ARIZONA,Show Low,87.0,2012
ARIZONA,Sierra Vista,130.0,2012
ARIZONA,Snowflake-Taylor,27.0,2012
ARIZONA,Somerton,18.0,2012
ARIZONA,South Tucson,159.0,2012
ARIZONA,Springerville,10.0,2012
ARIZONA,Surprise,162.0,2012
ARIZONA,Tempe,878.0,2012
ARIZONA,Thatcher,3.0,2012
ARIZONA,Tolleson,54.0,2012
ARIZONA,Tucson,3851.0,2012
ARIZONA,Wickenburg,15.0,2012
ARIZONA,Willcox,8.0,2012
ARIZONA,Winslow,101.0,2012
ARIZONA,Yuma,508.0,2012
ARKANSAS,Alma,15.0,2012
ARKANSAS,Arkadelphia,48.0,2012
ARKANSAS,Ashdown,19.0,2012
ARKANSAS,Atkins,1.0,2012
ARKANSAS,Austin,3.0,2012
ARKANSAS,Bald Knob,13.0,2012
ARKANSAS,Barling,15.0,2012
ARKANSAS,Bay,2.0,2012
ARKANSAS,Bearden,4.0,2012
ARKANSAS,Beebe,34.0,2012
ARKANSAS,Bella Vista,25.0,2012
ARKANSAS,Benton,116.0,2012
ARKANSAS,Bentonville,82.0,2012
ARKANSAS,Berryville,21.0,2012
ARKANSAS,Blytheville,196.0,2012
ARKANSAS,Booneville,13.0,2012
ARKANSAS,Bradford,2.0,2012
ARKANSAS,Brinkley,25.0,2012
ARKANSAS,Bryant,16.0,2012
ARKANSAS,Bull Shoals,4.0,2012
ARKANSAS,Cabot,61.0,2012
ARKANSAS,Caddo Valley,6.0,2012
ARKANSAS,Camden,70.0,2012
ARKANSAS,Cammack Village,0.0,2012
ARKANSAS,Carlisle,6.0,2012
ARKANSAS,Cave City,4.0,2012
ARKANSAS,Cave Springs,1.0,2012
ARKANSAS,Charleston,4.0,2012
ARKANSAS,Cherokee Village,4.0,2012
ARKANSAS,Clarendon,2.0,2012
ARKANSAS,Clarksville,16.0,2012
ARKANSAS,Clinton,0.0,2012
ARKANSAS,Conway,252.0,2012
ARKANSAS,Corning,3.0,2012
ARKANSAS,Crossett,20.0,2012
ARKANSAS,Danville,1.0,2012
ARKANSAS,Dardanelle,28.0,2012
ARKANSAS,Decatur,4.0,2012
ARKANSAS,De Queen,20.0,2012
ARKANSAS,De Witt,19.0,2012
ARKANSAS,Diaz,3.0,2012
ARKANSAS,Dumas,24.0,2012
ARKANSAS,Earle,11.0,2012
ARKANSAS,El Dorado,197.0,2012
ARKANSAS,Elkins,2.0,2012
ARKANSAS,Eudora,2.0,2012
ARKANSAS,Eureka Springs,3.0,2012
ARKANSAS,Fairfield Bay,5.0,2012
ARKANSAS,Farmington,30.0,2012
ARKANSAS,Fayetteville,388.0,2012
ARKANSAS,Flippin,6.0,2012
ARKANSAS,Fordyce,39.0,2012
ARKANSAS,Forrest City,122.0,2012
ARKANSAS,Fort Smith,687.0,2012
ARKANSAS,Gassville,3.0,2012
ARKANSAS,Gentry,5.0,2012
ARKANSAS,Glenwood,1.0,2012
ARKANSAS,Gravette,6.0,2012
ARKANSAS,Green Forest,24.0,2012
ARKANSAS,Greenland,5.0,2012
ARKANSAS,Greenwood,19.0,2012
ARKANSAS,Greers Ferry,1.0,2012
ARKANSAS,Gurdon,14.0,2012
ARKANSAS,Guy,3.0,2012
ARKANSAS,Hamburg,16.0,2012
ARKANSAS,Hampton,8.0,2012
ARKANSAS,Hardy,5.0,2012
ARKANSAS,Harrisburg,9.0,2012
ARKANSAS,Harrison,60.0,2012
ARKANSAS,Heber Springs,19.0,2012
ARKANSAS,Helena-West Helena,165.0,2012
ARKANSAS,Highfill,0.0,2012
ARKANSAS,Highland,4.0,2012
ARKANSAS,Hope,96.0,2012
ARKANSAS,Horseshoe Bend,3.0,2012
ARKANSAS,Hot Springs,164.0,2012
ARKANSAS,Jacksonville,246.0,2012
ARKANSAS,Jonesboro,295.0,2012
ARKANSAS,Kensett,5.0,2012
ARKANSAS,Lakeview,2.0,2012
ARKANSAS,Lake Village,60.0,2012
ARKANSAS,Lepanto,8.0,2012
ARKANSAS,Lewisville,2.0,2012
ARKANSAS,Lincoln,0.0,2012
ARKANSAS,Little Flock,5.0,2012
ARKANSAS,Little Rock,2579.0,2012
ARKANSAS,Lonoke,18.0,2012
ARKANSAS,Lowell,10.0,2012
ARKANSAS,Luxora,2.0,2012
ARKANSAS,Magnolia,27.0,2012
ARKANSAS,Marianna,7.0,2012
ARKANSAS,Marion,63.0,2012
ARKANSAS,Marmaduke,14.0,2012
ARKANSAS,Maumelle,28.0,2012
ARKANSAS,Mayflower,4.0,2012
ARKANSAS,McGehee,28.0,2012
ARKANSAS,McRae,1.0,2012
ARKANSAS,Mena,17.0,2012
ARKANSAS,Mineral Springs,2.0,2012
ARKANSAS,Monticello,38.0,2012
ARKANSAS,Morrilton,19.0,2012
ARKANSAS,Mountain Home,7.0,2012
ARKANSAS,Mountain View,12.0,2012
ARKANSAS,Mulberry,9.0,2012
ARKANSAS,Murfreesboro,2.0,2012
ARKANSAS,Nashville,19.0,2012
ARKANSAS,Newport,21.0,2012
ARKANSAS,North Little Rock,449.0,2012
ARKANSAS,Osceola,102.0,2012
ARKANSAS,Ozark,19.0,2012
ARKANSAS,Pangburn,0.0,2012
ARKANSAS,Paragould,89.0,2012
ARKANSAS,Paris,6.0,2012
ARKANSAS,Parkin,8.0,2012
ARKANSAS,Pea Ridge,24.0,2012
